7000,Reliance Jio Infocomm,Madhya Pradesh and Chhattisgarh Telecom Circle.,24,22.42,72.54
7001,Reliance Jio Infocomm,West Bengal Telecom Circle.,24,22.567,88.367
7002,Reliance Jio Infocomm,Assam Telecom Circle.,24,26.14,91.77
7003,Reliance Jio Infocomm,Kolkata Metro Telecom Circle.,24,22.567,88.367
7004,Reliance Jio Infocomm,Bihar and Jharkhand Telecom Circle.,24,25.37,85.13
7005,Reliance Jio Infocomm,North East India Telecom Circle.,24,20.594,78.963
7006,Reliance Jio Infocomm,Jammu and Kashmir Telecom Circle.,24,33.45,76.24
7007,Reliance Jio Infocomm,Uttar Pradesh (East) Telecom Circle.,24,26.85,80.91
7008,Reliance Jio Infocomm,Odisha Telecom Circle.,24,20.15,85.5
7009,Reliance Jio Infocomm,Punjab Telecom Circle.,24,30.79,76.78
7010,Reliance Jio Infocomm,Tamil Nadu Telecom Circle.,24,13.09,80.27
7011,Reliance Jio Infocomm,Delhi Metro Telecom Circle.,24,28.61,77.23
7012,Reliance Jio Infocomm,Kerala Telecom Circle.,24,8.507,76.972
7013,Reliance Jio Infocomm,Andhra Pradesh Telecom Circle.,24,17.366,78.476
7014,Reliance Jio Infocomm,Rajasthan Telecom Circle.,24,26.573,73.839
7015,Reliance Jio Infocomm,Haryana Telecom Circle.,24,30.73,76.78
7016,Reliance Jio Infocomm,Gujarat Telecom Circle.,24,23.216,72.683
7017,Reliance Jio Infocomm,Uttar Pradesh (West) and Uttarakhand Telecom Circle.,24,27.571,80.098
7018,Reliance Jio Infocomm,Himachal Pradesh Telecom Circle.,24,31.103,77.172
7019,Reliance Jio Infocomm,Karnataka Telecom Circle.,24,12.97,77.56
7020,Reliance Jio Infocomm,Maharashtra Telecom Circle.,24,18.96,72.82
7021,Reliance Jio Infocomm,Mumbai Metro Telecom Circle.,24,18.975,72.826
7022,Bharti Airtel,Karnataka Telecom Circle.,2,12.97,77.56
7023,Bharti Airtel,Rajasthan Telecom Circle.,2,26.573,73.839
